ID,Site,Latitude,Longitude,Year,Planting,Genetics,ID_Loc,Mat,Yield_Sim,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,HarvestDate_Sim,EndDate,Result
1,lafayette_in,40.399,-86.8592,2017,2017-05-28,1,1,early1,763.2111235002212,11,2017-05-14,2017-05-28,95,2017-08-31,2017-09-11,2017-09-25,Harvested at Maturity.
2,rosemount_mn,44.707,-93.101,2017,2017-05-28,1,2,early1,905.57891988670406,11,2017-05-14,2017-05-28,115,2017-09-20,2017-09-30,2017-10-14,Harvested at Maturity.
3,morris_mn,45.3552,-95.5436,2017,2017-05-27,1,3,early1,898.5620450336984,11,2017-05-13,2017-05-27,120,2017-09-24,2017-10-08,2017-10-22,Harvested at Maturity.
4,pontiac_il,40.82216667,-88.62016667,2017,2017-05-28,2,4,early2,975.8100522433796,11,2017-05-14,2017-05-28,110,2017-09-15,2017-09-22,2017-10-06,Harvested at Maturity.
5,urbana_il,40.05325,-88.23485,2017,2017-05-27,2,5,early2,957.9249946250528,11,2017-05-13,2017-05-27,103,2017-09-07,2017-09-16,2017-09-30,Harvested at Maturity.
6,lafayette_in,40.399,-86.8592,2017,2017-05-28,2,1,early2,896.1791527202433,11,2017-05-14,2017-05-28,111,2017-09-16,2017-09-22,2017-10-06,Harvested at Maturity.
7,eastlansing_mi,42.6296,-84.4375,2017,2017-05-29,2,6,early2,945.6691828744416,11,2017-05-15,2017-05-29,122,2017-09-28,2017-10-08,2017-10-22,Harvested at Maturity.
8,lamberton_mn,44.24095,-95.3115,2017,2017-05-28,2,7,early2,1007.2348076107326,11,2017-05-14,2017-05-28,129,2017-10-04,2017-10-18,2017-11-01,Harvested at Maturity.
9,waseca_mn,44.07345,-93.53225,2017,2017-05-28,2,8,early2,1013.4261193661138,11,2017-05-14,2017-05-28,129,2017-10-04,2017-10-18,2017-11-01,Harvested at Maturity.
10,shelly_mn,47.4264,-96.8317,2019,2019-05-21,0,9,early0,807.2052274724299,11,2019-05-07,2019-05-21,119,2019-09-17,2019-09-26,2019-10-10,Harvested at Maturity.
11,wanatah_in,41.4444,-86.9437,2019,2019-06-04,1,10,early1,730.5285686756358,11,2019-05-21,2019-06-04,95,2019-09-07,2019-09-15,2019-09-29,Harvested at Maturity.
12,lafayette_in,40.399,-86.8592,2019,2019-05-28,1,1,early1,763.7835392066195,11,2019-05-14,2019-05-28,91,2019-08-27,2019-09-05,2019-09-19,Harvested at Maturity.
13,eastlansing_mi,42.6296,-84.4375,2019,2019-05-30,1,6,early1,819.1486405339163,11,2019-05-16,2019-05-30,106,2019-09-13,2019-09-22,2019-10-06,Harvested at Maturity.
14,danvers_mn,45.2803,-95.7591,2019,2019-05-27,1,11,early1,886.9418094721681,11,2019-05-13,2019-05-27,114,2019-09-18,2019-09-27,2019-10-11,Harvested at Maturity.
15,morris_mn,45.3552,-95.5436,2019,2019-05-31,1,3,early1,914.8481481691884,11,2019-05-17,2019-05-31,113,2019-09-21,2019-10-04,2019-10-18,Harvested at Maturity.
16,rosemount_mn,44.707,-93.101,2019,2019-05-27,1,2,early1,870.2045934473398,11,2019-05-13,2019-05-27,113,2019-09-17,2019-09-25,2019-10-09,Harvested at Maturity.
17,pontiac_il,40.82216667,-88.62016667,2019,2019-06-08,2,4,early2,795.5393743945785,11,2019-05-25,2019-06-08,101,2019-09-17,2019-09-23,2019-10-07,Harvested at Maturity.
18,urbana_il,40.05325,-88.23485,2019,2019-06-01,2,5,early2,804.4470922132099,11,2019-05-18,2019-06-01,99,2019-09-08,2019-09-14,2019-09-28,Harvested at Maturity.
19,wanatah_in,41.4444,-86.9437,2019,2019-06-04,2,10,early2,863.4991261337914,11,2019-05-21,2019-06-04,106,2019-09-18,2019-09-25,2019-10-09,Harvested at Maturity.
20,lafayette_in,40.399,-86.8592,2019,2019-05-28,2,1,early2,907.5491078904878,11,2019-05-14,2019-05-28,104,2019-09-09,2019-09-15,2019-09-29,Harvested at Maturity.
21,eastlansing_mi,42.6296,-84.4375,2019,2019-05-30,2,6,early2,948.2939129741584,11,2019-05-16,2019-05-30,118,2019-09-25,2019-10-06,2019-10-20,Harvested at Maturity.
22,phillips_ne,40.8473,-98.177,2019,2019-05-19,2,12,early2,880.0908682284091,11,2019-05-05,2019-05-19,110,2019-09-06,2019-09-12,2019-09-26,Harvested at Maturity.
23,wooster_oh,40.7565,-81.9004,2019,2019-05-23,2,13,early2,852.1390501807368,11,2019-05-09,2019-05-23,110,2019-09-10,2019-09-17,2019-10-01,Harvested at Maturity.
24,arthur_il,39.70646667,-88.47023333,2019,2019-06-05,3,14,early3,958.2210230091227,11,2019-05-22,2019-06-05,105,2019-09-18,2019-09-23,2019-10-07,Harvested at Maturity.
25,urbana_il,40.05325,-88.23485,2019,2019-06-01,3,5,early3,1011.770716906842,11,2019-05-18,2019-06-01,111,2019-09-20,2019-09-24,2019-10-08,Harvested at Maturity.
26,romney_in,40.2364,-86.8889,2019,2019-06-09,3,15,early3,999.2992829390432,11,2019-05-26,2019-06-09,111,2019-09-28,2019-10-03,2019-10-17,Harvested at Maturity.
27,wanatah_in,41.4444,-86.9437,2019,2019-06-04,3,10,early3,1016.927979471972,11,2019-05-21,2019-06-04,119,2019-10-01,2019-10-08,2019-10-22,Harvested at Maturity.
28,lafayette_in,40.399,-86.8592,2019,2019-05-28,3,1,early3,1060.050413328174,11,2019-05-14,2019-05-28,116,2019-09-21,2019-09-26,2019-10-10,Harvested at Maturity.
29,albany_mo,40.2384,-94.3433,2019,2019-06-08,3,16,early3,888.5704796599211,11,2019-05-25,2019-06-08,104,2019-09-20,2019-09-25,2019-10-09,Harvested at Maturity.
30,columbia_mo,38.8894,-92.2081,2019,2019-06-05,3,17,early3,893.1512402821088,11,2019-05-22,2019-06-05,100,2019-09-13,2019-09-17,2019-10-01,Harvested at Maturity.
31,phillips_ne,40.8473,-98.177,2019,2019-05-19,3,12,early3,1040.597468646474,11,2019-05-05,2019-05-19,122,2019-09-18,2019-09-22,2019-10-06,Harvested at Maturity.
32,wooster_oh,40.7565,-81.9004,2019,2019-05-23,3,13,early3,1049.760351933373,11,2019-05-09,2019-05-23,123,2019-09-23,2019-09-29,2019-10-13,Harvested at Maturity.
33,flora_il,38.702763,-88.518259,2019,2019-06-11,4,18,early4,1176.2370751572664,11,2019-05-28,2019-06-11,116,2019-10-05,2019-10-10,2019-10-24,Harvested at Maturity.
34,urbana_il,40.05325,-88.23485,2019,2019-06-01,4,5,early4,1411.06751600989,11,2019-05-18,2019-06-01,136,2019-10-15,2019-10-22,2019-11-05,Harvested at Maturity.
35,romney_in,40.2364,-86.8889,2019,2019-06-09,4,15,early4,1331.0101396070943,11,2019-05-26,2019-06-09,145,2019-11-01,2019-11-09,2019-11-23,Harvested at Maturity.
36,lafayette_in,40.399,-86.8592,2019,2019-05-28,4,1,early4,1541.1015711114326,11,2019-05-14,2019-05-28,145,2019-10-20,2019-10-27,2019-11-10,Harvested at Maturity.
37,albany_mo,40.2384,-94.3433,2019,2019-06-08,4,16,early4,1250.468573801567,11,2019-05-25,2019-06-08,134,2019-10-20,2019-10-28,2019-11-11,Harvested at Maturity.
38,columbia_mo,38.8894,-92.2081,2019,2019-06-05,4,17,early4,1178.335045710836,11,2019-05-22,2019-06-05,118,2019-10-01,2019-10-05,2019-10-19,Harvested at Maturity.
39,portagevilleclay_mo,36.3987,-88.6051,2019,2019-05-17,4,19,early4,1270.363200146115,11,2019-05-03,2019-05-17,115,2019-09-09,2019-09-12,2019-09-26,Harvested at Maturity.
40,portagevilleloam_mo,36.39516667,-89.6102,2019,2019-05-15,4,20,early4,1230.538985475695,11,2019-05-01,2019-05-15,114,2019-09-06,2019-09-09,2019-09-23,Harvested at Maturity.
41,crookston_mn,47.805,-96.61426667,2018,2018-05-24,0,21,early0,873.3438933638424,11,2018-05-10,2018-05-24,105,2018-09-06,2018-09-16,2018-09-30,Harvested at Maturity.
42,shelly_mn,47.4264,-96.8317,2018,2018-05-25,0,9,early0,814.8449095838814,11,2018-05-11,2018-05-25,103,2018-09-05,2018-09-15,2018-09-29,Harvested at Maturity.
43,wanatah_in,41.4444,-86.9437,2018,2018-05-26,1,10,early1,744.2893761969998,11,2018-05-12,2018-05-26,93,2018-08-27,2018-09-03,2018-09-17,Harvested at Maturity.
44,lafayette_in,40.399,-86.8592,2018,2018-05-28,1,1,early1,777.9773950495995,11,2018-05-14,2018-05-28,88,2018-08-24,2018-08-31,2018-09-14,Harvested at Maturity.
45,eastlansing_mi,42.6296,-84.4375,2018,2018-06-08,1,6,early1,698.7824595812828,11,2018-05-25,2018-06-08,97,2018-09-13,2018-09-21,2018-10-05,Harvested at Maturity.
46,morris_mn,45.3552,-95.5436,2018,2018-05-14,1,3,early1,992.1111010813624,11,2018-04-30,2018-05-14,109,2018-08-31,2018-09-10,2018-09-24,Harvested at Maturity.
47,rosemount_mn,44.707,-93.101,2018,2018-05-20,1,2,early1,894.7854205885142,11,2018-05-06,2018-05-20,104,2018-09-01,2018-09-09,2018-09-23,Harvested at Maturity.
48,pontiac_il,40.82216667,-88.62016667,2018,2018-05-09,2,4,early2,1048.0317893934014,11,2018-04-25,2018-05-09,104,2018-08-21,2018-08-28,2018-09-11,Harvested at Maturity.
49,urbana_il,40.05325,-88.23485,2018,2018-05-08,2,5,early2,952.4074946903756,11,2018-04-24,2018-05-08,100,2018-08-16,2018-08-22,2018-09-05,Harvested at Maturity.
50,wanatah_in,41.4444,-86.9437,2018,2018-05-26,2,10,early2,878.3571046764027,11,2018-05-12,2018-05-26,102,2018-09-05,2018-09-14,2018-09-28,Harvested at Maturity.
51,lafayette_in,40.399,-86.8592,2018,2018-05-28,2,1,early2,839.0485435850009,11,2018-05-14,2018-05-28,98,2018-09-03,2018-09-10,2018-09-24,Harvested at Maturity.
52,eastlansing_mi,42.6296,-84.4375,2018,2018-06-08,2,6,early2,787.6699681732994,11,2018-05-25,2018-06-08,109,2018-09-25,2018-10-07,2018-10-21,Harvested at Maturity.
53,lamberton_mn,44.24095,-95.3115,2018,2018-05-17,2,7,early2,1112.7599353690157,11,2018-05-03,2018-05-17,118,2018-09-12,2018-09-18,2018-10-02,Harvested at Maturity.
54,waseca_mn,44.07345,-93.53225,2018,2018-05-18,2,8,early2,1054.6996409009128,11,2018-05-04,2018-05-18,120,2018-09-15,2018-09-21,2018-10-05,Harvested at Maturity.
55,mead_ne,41.15785,-96.42075,2018,2018-05-18,2,22,early2,1017.8513850338912,11,2018-05-04,2018-05-18,101,2018-08-27,2018-09-03,2018-09-17,Harvested at Maturity.
56,arthur_il,39.70646667,-88.47023333,2018,2018-05-08,3,14,early3,1159.0841830527936,11,2018-04-24,2018-05-08,111,2018-08-27,2018-08-31,2018-09-14,Harvested at Maturity.
57,urbana_il,40.05325,-88.23485,2018,2018-05-08,3,5,early3,1188.6105136052108,11,2018-04-24,2018-05-08,113,2018-08-29,2018-09-03,2018-09-17,Harvested at Maturity.
58,wanatah_in,41.4444,-86.9437,2018,2018-05-26,3,10,early3,1096.7081101996066,11,2018-05-12,2018-05-26,117,2018-09-20,2018-09-26,2018-10-10,Harvested at Maturity.
