Site,Planting,Genetics,Latitude,Longitude
ames_ia,2024-05-01,2.5,42.0215,-93.7745
ames_ia,2023-05-01,2.5,42.0215,-93.7745
ames_ia,2022-05-01,2.5,42.0215,-93.7745
ames_ia,2021-05-01,2.5,42.0215,-93.7745
ames_ia,2020-05-01,2.5,42.0215,-93.7745
ames_ia,2019-05-01,2.5,42.0215,-93.7745
ames_ia,2018-05-01,2.5,42.0215,-93.7745
ames_ia,2017-05-01,2.5,42.0215,-93.7745
ames_ia,2016-05-01,2.5,42.0215,-93.7745
ames_ia,2015-05-01,2.5,42.0215,-93.7745
ames_ia,2024-06-05,2.5,42.0215,-93.7745
ames_ia,2023-06-05,2.5,42.0215,-93.7745
ames_ia,2022-06-05,2.5,42.0215,-93.7745
ames_ia,2021-06-05,2.5,42.0215,-93.7745
ames_ia,2020-06-05,2.5,42.0215,-93.7745
ames_ia,2019-06-05,2.5,42.0215,-93.7745
ames_ia,2018-06-05,2.5,42.0215,-93.7745
ames_ia,2017-06-05,2.5,42.0215,-93.7745
ames_ia,2016-06-05,2.5,42.0215,-93.7745
ames_ia,2015-06-05,2.5,42.0215,-93.7745
arthur_il,2024-05-01,2.5,39.70646667,-88.47023333
arthur_il,2023-05-01,2.5,39.70646667,-88.47023333
arthur_il,2022-05-01,2.5,39.70646667,-88.47023333
arthur_il,2021-05-01,2.5,39.70646667,-88.47023333
arthur_il,2020-05-01,2.5,39.70646667,-88.47023333
arthur_il,2019-05-01,2.5,39.70646667,-88.47023333
arthur_il,2018-05-01,2.5,39.70646667,-88.47023333
arthur_il,2017-05-01,2.5,39.70646667,-88.47023333
arthur_il,2016-05-01,2.5,39.70646667,-88.47023333
arthur_il,2015-05-01,2.5,39.70646667,-88.47023333
danvers_mn,2024-06-26,2.5,45.2803,-95.7591
danvers_mn,2023-06-26,2.5,45.2803,-95.7591
danvers_mn,2022-06-26,2.5,45.2803,-95.7591
danvers_mn,2021-06-26,2.5,45.2803,-95.7591
danvers_mn,2020-06-26,2.5,45.2803,-95.7591
danvers_mn,2019-06-26,2.5,45.2803,-95.7591
danvers_mn,2018-06-26,2.5,45.2803,-95.7591
danvers_mn,2017-06-26,2.5,45.2803,-95.7591
danvers_mn,2016-06-26,2.5,45.2803,-95.7591
danvers_mn,2015-06-26,2.5,45.2803,-95.7591
eastlansing_mi,2024-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2023-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2022-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2021-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2020-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2019-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2018-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2017-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2016-05-01,2.5,42.6296,-84.4375
eastlansing_mi,2015-05-01,2.5,42.6296,-84.4375
hoytville_oh,2024-05-01,2.5,41.2126,-83.7578
hoytville_oh,2023-05-01,2.5,41.2126,-83.7578
hoytville_oh,2022-05-01,2.5,41.2126,-83.7578
hoytville_oh,2021-05-01,2.5,41.2126,-83.7578
hoytville_oh,2020-05-01,2.5,41.2126,-83.7578
hoytville_oh,2019-05-01,2.5,41.2126,-83.7578
hoytville_oh,2018-05-01,2.5,41.2126,-83.7578
hoytville_oh,2017-05-01,2.5,41.2126,-83.7578
hoytville_oh,2016-05-01,2.5,41.2126,-83.7578
hoytville_oh,2015-05-01,2.5,41.2126,-83.7578
ivesdale_il,2024-05-08,2.5,39.9481,-88.44975
ivesdale_il,2023-05-08,2.5,39.9481,-88.44975
ivesdale_il,2022-05-08,2.5,39.9481,-88.44975
ivesdale_il,2021-05-08,2.5,39.9481,-88.44975
ivesdale_il,2020-05-08,2.5,39.9481,-88.44975
ivesdale_il,2019-05-08,2.5,39.9481,-88.44975
ivesdale_il,2018-05-08,2.5,39.9481,-88.44975
ivesdale_il,2017-05-08,2.5,39.9481,-88.44975
ivesdale_il,2016-05-08,2.5,39.9481,-88.44975
ivesdale_il,2015-05-08,2.5,39.9481,-88.44975
morris_mn,2024-06-26,2.5,45.3552,-95.5436
morris_mn,2023-06-26,2.5,45.3552,-95.5436
morris_mn,2022-06-26,2.5,45.3552,-95.5436
morris_mn,2021-06-26,2.5,45.3552,-95.5436
morris_mn,2020-06-26,2.5,45.3552,-95.5436
morris_mn,2019-06-26,2.5,45.3552,-95.5436
morris_mn,2018-06-26,2.5,45.3552,-95.5436
morris_mn,2017-06-26,2.5,45.3552,-95.5436
morris_mn,2016-06-26,2.5,45.3552,-95.5436
morris_mn,2015-06-26,2.5,45.3552,-95.5436
onaga_ks,2024-05-01,2.5,39.4889,-96.17
onaga_ks,2023-05-01,2.5,39.4889,-96.17
onaga_ks,2022-05-01,2.5,39.4889,-96.17
onaga_ks,2021-05-01,2.5,39.4889,-96.17
onaga_ks,2020-05-01,2.5,39.4889,-96.17
onaga_ks,2019-05-01,2.5,39.4889,-96.17
onaga_ks,2018-05-01,2.5,39.4889,-96.17
onaga_ks,2017-05-01,2.5,39.4889,-96.17
onaga_ks,2016-05-01,2.5,39.4889,-96.17
onaga_ks,2015-05-01,2.5,39.4889,-96.17
ottawa_ks,2024-05-01,2.5,38.5404,-95.2477
ottawa_ks,2023-05-01,2.5,38.5404,-95.2477
ottawa_ks,2022-05-01,2.5,38.5404,-95.2477
ottawa_ks,2021-05-01,2.5,38.5404,-95.2477
ottawa_ks,2020-05-01,2.5,38.5404,-95.2477
ottawa_ks,2019-05-01,2.5,38.5404,-95.2477
ottawa_ks,2018-05-01,2.5,38.5404,-95.2477
ottawa_ks,2017-05-01,2.5,38.5404,-95.2477
ottawa_ks,2016-05-01,2.5,38.5404,-95.2477
ottawa_ks,2015-05-01,2.5,38.5404,-95.2477
palmyra_ont,2024-05-01,2.5,42.4581,-81.7291
palmyra_ont,2023-05-01,2.5,42.4581,-81.7291
palmyra_ont,2022-05-01,2.5,42.4581,-81.7291
palmyra_ont,2021-05-01,2.5,42.4581,-81.7291
palmyra_ont,2020-05-01,2.5,42.4581,-81.7291
palmyra_ont,2019-05-01,2.5,42.4581,-81.7291
palmyra_ont,2018-05-01,2.5,42.4581,-81.7291
palmyra_ont,2017-05-01,2.5,42.4581,-81.7291
palmyra_ont,2016-05-01,2.5,42.4581,-81.7291
palmyra_ont,2015-05-01,2.5,42.4581,-81.7291
palmyra_ont,2024-05-08,2.5,42.4581,-81.7291
palmyra_ont,2023-05-08,2.5,42.4581,-81.7291
palmyra_ont,2022-05-08,2.5,42.4581,-81.7291
palmyra_ont,2021-05-08,2.5,42.4581,-81.7291
palmyra_ont,2020-05-08,2.5,42.4581,-81.7291
palmyra_ont,2019-05-08,2.5,42.4581,-81.7291
palmyra_ont,2018-05-08,2.5,42.4581,-81.7291
palmyra_ont,2017-05-08,2.5,42.4581,-81.7291
palmyra_ont,2016-05-08,2.5,42.4581,-81.7291
palmyra_ont,2015-05-08,2.5,42.4581,-81.7291
palmyra_ont,2024-05-15,2.5,42.4581,-81.7291
palmyra_ont,2023-05-15,2.5,42.4581,-81.7291
palmyra_ont,2022-05-15,2.5,42.4581,-81.7291
palmyra_ont,2021-05-15,2.5,42.4581,-81.7291
palmyra_ont,2020-05-15,2.5,42.4581,-81.7291
palmyra_ont,2019-05-15,2.5,42.4581,-81.7291
palmyra_ont,2018-05-15,2.5,42.4581,-81.7291
palmyra_ont,2017-05-15,2.5,42.4581,-81.7291
palmyra_ont,2016-05-15,2.5,42.4581,-81.7291
palmyra_ont,2015-05-15,2.5,42.4581,-81.7291
phillips_ne,2024-05-01,2.5,40.8473,-98.177
phillips_ne,2023-05-01,2.5,40.8473,-98.177
phillips_ne,2022-05-01,2.5,40.8473,-98.177
phillips_ne,2021-05-01,2.5,40.8473,-98.177
phillips_ne,2020-05-01,2.5,40.8473,-98.177
phillips_ne,2019-05-01,2.5,40.8473,-98.177
phillips_ne,2018-05-01,2.5,40.8473,-98.177
phillips_ne,2017-05-01,2.5,40.8473,-98.177
phillips_ne,2016-05-01,2.5,40.8473,-98.177
phillips_ne,2015-05-01,2.5,40.8473,-98.177
phillips_ne,2024-05-22,2.5,40.8473,-98.177
phillips_ne,2023-05-22,2.5,40.8473,-98.177
phillips_ne,2022-05-22,2.5,40.8473,-98.177
phillips_ne,2021-05-22,2.5,40.8473,-98.177
phillips_ne,2020-05-22,2.5,40.8473,-98.177
phillips_ne,2019-05-22,2.5,40.8473,-98.177
phillips_ne,2018-05-22,2.5,40.8473,-98.177
phillips_ne,2017-05-22,2.5,40.8473,-98.177
phillips_ne,2016-05-22,2.5,40.8473,-98.177
phillips_ne,2015-05-22,2.5,40.8473,-98.177
phillips_ne,2024-05-29,2.5,40.8473,-98.177
phillips_ne,2023-05-29,2.5,40.8473,-98.177
phillips_ne,2022-05-29,2.5,40.8473,-98.177
phillips_ne,2021-05-29,2.5,40.8473,-98.177
phillips_ne,2020-05-29,2.5,40.8473,-98.177
phillips_ne,2019-05-29,2.5,40.8473,-98.177
phillips_ne,2018-05-29,2.5,40.8473,-98.177
phillips_ne,2017-05-29,2.5,40.8473,-98.177
phillips_ne,2016-05-29,2.5,40.8473,-98.177
phillips_ne,2015-05-29,2.5,40.8473,-98.177
phillips_ne,2024-05-15,2.5,40.8473,-98.177
phillips_ne,2023-05-15,2.5,40.8473,-98.177
phillips_ne,2022-05-15,2.5,40.8473,-98.177
phillips_ne,2021-05-15,2.5,40.8473,-98.177
phillips_ne,2020-05-15,2.5,40.8473,-98.177
phillips_ne,2019-05-15,2.5,40.8473,-98.177
phillips_ne,2018-05-15,2.5,40.8473,-98.177
phillips_ne,2017-05-15,2.5,40.8473,-98.177
phillips_ne,2016-05-15,2.5,40.8473,-98.177
phillips_ne,2015-05-15,2.5,40.8473,-98.177
ridgetown_ont,2024-05-01,2.5,42.4527,-81.8803
ridgetown_ont,2023-05-01,2.5,42.4527,-81.8803
