Site,Planting,Latitude,Longitude,Genetics
crookston_mn,2024-05-01,47.805,-96.61426667,2.5
crookston_mn,2024-05-08,47.805,-96.61426667,2.5
crookston_mn,2024-05-15,47.805,-96.61426667,2.5
crookston_mn,2024-05-22,47.805,-96.61426667,2.5
crookston_mn,2024-05-29,47.805,-96.61426667,2.5
crookston_mn,2024-06-05,47.805,-96.61426667,2.5
crookston_mn,2024-06-12,47.805,-96.61426667,2.5
crookston_mn,2024-04-19,47.805,-96.61426667,2.5
crookston_mn,2024-04-26,47.805,-96.61426667,2.5
roseau_mn,2024-05-01,48.1623,-96.0419,2.5
roseau_mn,2024-05-08,48.1623,-96.0419,2.5
roseau_mn,2024-05-15,48.1623,-96.0419,2.5
roseau_mn,2024-05-22,48.1623,-96.0419,2.5
roseau_mn,2024-05-29,48.1623,-96.0419,2.5
roseau_mn,2024-06-05,48.1623,-96.0419,2.5
roseau_mn,2024-06-12,48.1623,-96.0419,2.5
roseau_mn,2024-04-19,48.1623,-96.0419,2.5
roseau_mn,2024-04-26,48.1623,-96.0419,2.5
thiefriverfalls_mn,2024-05-01,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-05-08,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-05-15,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-05-22,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-05-29,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-06-05,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-06-12,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-04-19,48.1283,-96.2427,2.5
thiefriverfalls_mn,2024-04-26,48.1283,-96.2427,2.5
casselton_nd,2024-05-01,46.8866,-97.2386,2.5
casselton_nd,2024-05-08,46.8866,-97.2386,2.5
casselton_nd,2024-05-15,46.8866,-97.2386,2.5
casselton_nd,2024-05-22,46.8866,-97.2386,2.5
casselton_nd,2024-05-29,46.8866,-97.2386,2.5
casselton_nd,2024-06-05,46.8866,-97.2386,2.5
casselton_nd,2024-06-12,46.8866,-97.2386,2.5
casselton_nd,2024-04-19,46.8866,-97.2386,2.5
casselton_nd,2024-04-26,46.8866,-97.2386,2.5
ottawa_ont,2024-05-01,45.3712,-75.72575,2.5
ottawa_ont,2024-05-08,45.3712,-75.72575,2.5
ottawa_ont,2024-05-15,45.3712,-75.72575,2.5
ottawa_ont,2024-05-22,45.3712,-75.72575,2.5
ottawa_ont,2024-05-29,45.3712,-75.72575,2.5
ottawa_ont,2024-06-05,45.3712,-75.72575,2.5
ottawa_ont,2024-06-12,45.3712,-75.72575,2.5
ottawa_ont,2024-04-19,45.3712,-75.72575,2.5
ottawa_ont,2024-04-26,45.3712,-75.72575,2.5
lapocatiere_que,2024-05-01,47.357,-70.023,2.5
lapocatiere_que,2024-05-08,47.357,-70.023,2.5
lapocatiere_que,2024-05-15,47.357,-70.023,2.5
lapocatiere_que,2024-05-22,47.357,-70.023,2.5
lapocatiere_que,2024-05-29,47.357,-70.023,2.5
lapocatiere_que,2024-06-05,47.357,-70.023,2.5
lapocatiere_que,2024-06-12,47.357,-70.023,2.5
lapocatiere_que,2024-04-19,47.357,-70.023,2.5
