Site,Longitude,Latitude,Planting,Genetics
ARH1_2016,-90.7603555,34.72952,2016-04-07,72.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,84.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.25
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,71
ARH1_2016,-90.7603555,34.72952,2016-04-07,70.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,78.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,90.25
ARH1_2016,-90.7603555,34.72952,2016-04-07,80.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,100
ARH1_2016,-90.7603555,34.72952,2016-04-07,89
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,77.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,96.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,84.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,69
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,84
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,100.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,69
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,71
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,116.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,84
ARH1_2016,-90.7603555,34.72952,2016-04-07,88
ARH1_2016,-90.7603555,34.72952,2016-04-07,116.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,104
ARH1_2016,-90.7603555,34.72952,2016-04-07,104
ARH1_2016,-90.7603555,34.72952,2016-04-07,100.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,72.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,70.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,100
ARH1_2016,-90.7603555,34.72952,2016-04-07,88
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,78.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,90.25
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.25
ARH1_2016,-90.7603555,34.72952,2016-04-07,100
ARH1_2016,-90.7603555,34.72952,2016-04-07,80.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,89
ARH1_2016,-90.7603555,34.72952,2016-04-07,100
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,77.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,82
ARH1_2016,-90.7603555,34.72952,2016-04-07,96.5
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2016,-90.7603555,34.72952,2016-04-07,80
ARH1_2017,-90.76032575,34.7272515,2017-04-17,84
ARH1_2017,-90.76032575,34.7272515,2017-04-17,104
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80
ARH1_2017,-90.76032575,34.7272515,2017-04-17,88
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75
ARH1_2017,-90.76032575,34.7272515,2017-04-17,100
ARH1_2017,-90.76032575,34.7272515,2017-04-17,84.75
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.25
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80
ARH1_2017,-90.76032575,34.7272515,2017-04-17,70.5
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75
ARH1_2017,-90.76032575,34.7272515,2017-04-17,82
ARH1_2017,-90.76032575,34.7272515,2017-04-17,93.75
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80
ARH1_2017,-90.76032575,34.7272515,2017-04-17,78.5
