ID,Site,Latitude,Longitude,Genetics,Planting,Year,ID_Loc,Mat,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,HarvestDate_Sim,EndDate,Result
1,Site,33.7488,-84.3877,-1.8333333333333337,2020-05-01,2020,1,early000,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-04,2020-08-18,Harvested at Maturity.
2,Site,33.7488,-84.3877,-1.5000000000000002,2020-05-01,2020,1,mid000,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-04,2020-08-18,Harvested at Maturity.
3,Site,33.7488,-84.3877,-1.166666666666667,2020-05-01,2020,1,late000,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-03,2020-08-17,Harvested at Maturity.
4,Site,33.7488,-84.3877,-0.8333333333333335,2020-05-01,2020,1,early00,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-03,2020-08-17,Harvested at Maturity.
5,Site,33.7488,-84.3877,-0.5000000000000002,2020-05-01,2020,1,mid00,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-03,2020-08-17,Harvested at Maturity.
6,Site,33.7488,-84.3877,-0.16666666666666696,2020-05-01,2020,1,late00,11,2020-04-17,2020-05-01,86,2020-07-26,2020-08-03,2020-08-17,Harvested at Maturity.
7,Site,33.7488,-84.3877,0.16666666666666652,2020-05-01,2020,1,early0,11,2020-04-17,2020-05-01,87,2020-07-27,2020-08-03,2020-08-17,Harvested at Maturity.
8,Site,33.7488,-84.3877,0.4999999999999995,2020-05-01,2020,1,mid0,11,2020-04-17,2020-05-01,88,2020-07-28,2020-08-04,2020-08-18,Harvested at Maturity.
9,Site,33.7488,-84.3877,0.833333333333333,2020-05-01,2020,1,late0,11,2020-04-17,2020-05-01,89,2020-07-29,2020-08-05,2020-08-19,Harvested at Maturity.
10,Site,33.7488,-84.3877,1.1666666666666663,2020-05-01,2020,1,early1,11,2020-04-17,2020-05-01,91,2020-07-31,2020-08-06,2020-08-20,Harvested at Maturity.
11,Site,33.7488,-84.3877,1.4999999999999996,2020-05-01,2020,1,mid1,11,2020-04-17,2020-05-01,93,2020-08-02,2020-08-07,2020-08-21,Harvested at Maturity.
12,Site,33.7488,-84.3877,1.833333333333333,2020-05-01,2020,1,late1,11,2020-04-17,2020-05-01,95,2020-08-04,2020-08-09,2020-08-23,Harvested at Maturity.
13,Site,33.7488,-84.3877,2.1666666666666665,2020-05-01,2020,1,early2,11,2020-04-17,2020-05-01,98,2020-08-07,2020-08-11,2020-08-25,Harvested at Maturity.
14,Site,33.7488,-84.3877,2.4999999999999996,2020-05-01,2020,1,mid2,11,2020-04-17,2020-05-01,100,2020-08-09,2020-08-14,2020-08-28,Harvested at Maturity.
15,Site,33.7488,-84.3877,2.8333333333333326,2020-05-01,2020,1,late2,11,2020-04-17,2020-05-01,102,2020-08-11,2020-08-17,2020-08-31,Harvested at Maturity.
16,Site,33.7488,-84.3877,3.1666666666666665,2020-05-01,2020,1,early3,11,2020-04-17,2020-05-01,103,2020-08-12,2020-08-20,2020-09-03,Harvested at Maturity.
17,Site,33.7488,-84.3877,3.4999999999999996,2020-05-01,2020,1,mid3,11,2020-04-17,2020-05-01,105,2020-08-14,2020-08-24,2020-09-07,Harvested at Maturity.
18,Site,33.7488,-84.3877,3.8333333333333326,2020-05-01,2020,1,late3,11,2020-04-17,2020-05-01,108,2020-08-17,2020-08-29,2020-09-12,Harvested at Maturity.
19,Site,33.7488,-84.3877,4.166666666666666,2020-05-01,2020,1,early4,11,2020-04-17,2020-05-01,112,2020-08-21,2020-09-02,2020-09-16,Harvested at Maturity.
20,Site,33.7488,-84.3877,4.5,2020-05-01,2020,1,mid4,11,2020-04-17,2020-05-01,118,2020-08-27,2020-09-09,2020-09-23,Harvested at Maturity.
21,Site,33.7488,-84.3877,4.833333333333332,2020-05-01,2020,1,late4,11,2020-04-17,2020-05-01,123,2020-09-01,2020-09-15,2020-09-29,Harvested at Maturity.
22,Site,33.7488,-84.3877,5.166666666666666,2020-05-01,2020,1,early5,11,2020-04-17,2020-05-01,128,2020-09-06,2020-09-23,2020-10-07,Harvested at Maturity.
23,Site,33.7488,-84.3877,5.5,2020-05-01,2020,1,mid5,11,2020-04-17,2020-05-01,134,2020-09-12,2020-10-01,2020-10-15,Harvested at Maturity.
24,Site,33.7488,-84.3877,5.833333333333332,2020-05-01,2020,1,late5,11,2020-04-17,2020-05-01,137,2020-09-15,2020-10-08,2020-10-22,Harvested at Maturity.
25,Site,33.7488,-84.3877,6.166666666666666,2020-05-01,2020,1,early6,11,2020-04-17,2020-05-01,140,2020-09-18,2020-10-12,2020-10-26,Harvested at Maturity.
26,Site,33.7488,-84.3877,6.499999999999998,2020-05-01,2020,1,mid6,11,2020-04-17,2020-05-01,142,2020-09-20,2020-10-14,2020-10-28,Harvested at Maturity.
27,Site,33.7488,-84.3877,6.833333333333332,2020-05-01,2020,1,late6,11,2020-04-17,2020-05-01,143,2020-09-21,2020-10-15,2020-10-29,Harvested at Maturity.
28,Site,33.7488,-84.3877,7.166666666666666,2020-05-01,2020,1,early7,11,2020-04-17,2020-05-01,141,2020-09-19,2020-10-15,2020-10-29,Harvested at Maturity.
29,Site,33.7488,-84.3877,7.499999999999998,2020-05-01,2020,1,mid7,11,2020-04-17,2020-05-01,140,2020-09-18,2020-10-13,2020-10-27,Harvested at Maturity.
30,Site,33.7488,-84.3877,7.833333333333332,2020-05-01,2020,1,late7,11,2020-04-17,2020-05-01,139,2020-09-17,2020-10-12,2020-10-26,Harvested at Maturity.
