Planting,Genetics,Site,Latitude,Longitude
2000-5-29,3.5,urbana,40.0690633,-88.2233699
2001-5-29,3.5,urbana,40.0690633,-88.2233699
2002-5-29,3.5,urbana,40.0690633,-88.2233699
2003-5-29,3.5,urbana,40.0690633,-88.2233699
2004-5-29,3.5,urbana,40.0690633,-88.2233699
2005-5-29,3.5,urbana,40.0690633,-88.2233699
2006-5-29,3.5,urbana,40.0690633,-88.2233699
2007-5-29,3.5,urbana,40.0690633,-88.2233699
2008-5-29,3.5,urbana,40.0690633,-88.2233699
2009-5-29,3.5,urbana,40.0690633,-88.2233699
2010-5-29,3.5,urbana,40.0690633,-88.2233699
2011-5-29,3.5,urbana,40.0690633,-88.2233699
2012-5-29,3.5,urbana,40.0690633,-88.2233699
2013-5-29,3.5,urbana,40.0690633,-88.2233699
2014-5-29,3.5,urbana,40.0690633,-88.2233699
